model,fold,accuracy,f1_macro,val_thr,val_thr_f1,roc_auc,pr_auc
baseline_sage,1,0.9625706214689266,0.957824720374097,0.11,0.9564631874112199,0.9913551380938304,0.9868100958571782
baseline_sage,2,0.9653954802259888,0.9611314803974018,0.9,0.95705186533212,0.9943203705196771,0.9905507875199574
baseline_sage,3,0.6652542372881356,0.3994910941475827,0.01,0.3994910941475827,0.9920426957635697,0.9855226035250695
baseline_sage,4,0.940677966101695,0.9301379807771375,0.99,0.9277825033546385,0.9905824755659474,0.9872307623833001
baseline_sage,5,0.971045197740113,0.9671968679495386,0.33,0.9776587687980093,0.9941031291712579,0.9909935928465654
baseline_plus_gps_transformer,1,1.0,1.0,0.97,1.0,1.0,1.0
baseline_plus_gps_transformer,2,0.9992937853107344,0.9992075958873331,0.87,1.0,1.0,1.0
baseline_plus_gps_transformer,3,0.9964689265536724,0.9960421079464745,0.86,0.9984160187929974,0.9999440099617476,0.9998916969916571
baseline_plus_gps_transformer,4,0.9992937853107344,0.9992067649060694,0.18000000000000002,1.0,0.9999910415938796,0.9999823455678548
baseline_plus_gps_transformer,5,0.998587570621469,0.9984160187929974,0.97,0.9968353298766315,0.9999977603984699,0.9999955585165445
